user_id,session_begin,session_end
2231,2017-03-01T05:38:50.983000,2017-03-01T16:56:53.220000
9714,2017-03-01T06:56:48.752000,2017-03-01T07:31:33.118000
9874,2017-03-01T11:21:44.455000,2017-03-01T11:50:27.965000
11592,2017-03-01T05:58:06.996000,2017-03-01T08:31:08.872000
12466,2017-03-01T16:41:58.977000,2017-03-01T17:53:35.788000
19528,2017-03-01T18:33:58.352000,2017-03-01T19:47:33.550000
27123,2017-03-01T08:15:46.952000,2017-03-01T08:16:29.069000
32512,2017-03-01T16:11:40.566000,2017-03-01T17:36:40.762000
33770,2017-03-01T05:05:59.697000,2017-03-01T18:53:11.123000
34126,2017-03-01T10:08:08.149000,2017-03-01T17:40:28.960000
36208,2017-03-01T06:19:01.818000,2017-03-01T07:07:55.512000
36580,2017-03-01T10:56:16.327000,2017-03-01T11:59:27.786000
36671,2017-03-01T16:52:35.796000,2017-03-01T18:41:53.668000
37602,2017-03-01T06:19:48.628000,2017-03-01T07:42:33.568000
39449,2017-03-01T15:24:12.265000,2017-03-01T16:54:12.535000
39577,2017-03-01T09:42:38.194000,2017-03-01T20:46:54.191000
39773,2017-03-01T12:49:05.514000,2017-03-01T20:44:20.802000
44871,2017-03-01T18:51:06.976000,2017-03-01T19:54:51.336000
45323,2017-03-01T16:45:45.041000,2017-03-01T21:37:48.758000
47489,2017-03-01T08:39:56.865000,2017-03-01T10:34:47.619000
48658,2017-03-01T06:17:13.270000,2017-03-01T11:48:44.686000
48690,2017-03-01T03:04:06.815000,2017-03-01T05:42:23.422000
49553,2017-03-01T07:40:01.384000,2017-03-01T16:24:48.947000
50889,2017-03-01T10:36:27.640000,2017-03-01T18:27:22.473000
51216,2017-03-01T05:09:55.596000,2017-03-01T14:25:34.419000
51413,2017-03-01T14:25:47.153000,2017-03-01T16:20:25.903000
52927,2017-03-01T15:11:08.303000,2017-03-01T18:42:13.351000
53171,2017-03-01T05:55:49.311000,2017-03-01T07:34:40.055000
53687,2017-03-01T05:11:45.069000,2017-03-01T07:50:23.940000
53945,2017-03-01T10:03:33.166000,2017-03-01T11:54:24.170000
55957,2017-03-01T07:55:04.350000,2017-03-01T09:54:28.629000
59586,2017-03-01T08:38:46.262000,2017-03-01T10:59:09.424000
60401,2017-03-01T14:57:58.330000,2017-03-01T16:11:36.634000
60956,2017-03-01T13:16:02.235000,2017-03-01T17:36:25.354000
64439,2017-03-01T16:48:38.111000,2017-03-01T17:50:18.835000
70757,2017-03-01T05:00:57.125000,2017-03-01T06:05:38.865000
71317,2017-03-01T05:55:57.895000,2017-03-01T22:03:00.190000
74974,2017-03-01T05:01:03.911000,2017-03-01T17:42:36.455000
76463,2017-03-01T14:15:04.333000,2017-03-01T15:42:24.290000
78973,2017-03-01T06:08:30.628000,2017-03-01T12:51:19.963000
79349,2017-03-01T12:52:45.492000,2017-03-01T16:54:00.022000
80814,2017-03-01T06:52:46.778000,2017-03-01T17:58:56.877000
81011,2017-03-01T10:19:21.597000,2017-03-01T18:43:23.821000
82707,2017-03-01T11:52:06.532000,2017-03-01T14:47:35.650000
85481,2017-03-01T03:35:17.302000,2017-03-01T12:01:42.261000
85521,2017-03-01T16:00:48.378000,2017-03-01T18:11:33.900000
86334,2017-03-01T05:02:34.223000,2017-03-01T07:30:02.572000
87014,2017-03-01T15:43:25.357000,2017-03-01T17:00:48.461000
87369,2017-03-01T09:29:13.858000,2017-03-01T15:56:24.920000
88770,2017-03-01T06:23:57.027000,2017-03-01T17:22:56.712000
88921,2017-03-01T04:04:07.220000,2017-03-01T07:52:52.957000
89363,2017-03-01T09:58:29.810000,2017-03-01T13:37:00.094000
89654,2017-03-01T10:35:11.070000,2017-03-01T13:03:51.863000
94341,2017-03-01T16:09:02.214000,2017-03-01T23:23:48.496000
95034,2017-03-01T17:00:04.911000,2017-03-01T18:21:24.160000
107363,2017-03-01T06:15:55.160000,2017-03-01T07:50:06.571000
108106,2017-03-01T02:38:05.390000,2017-03-01T17:04:23.830000
108328,2017-03-01T12:29:29.933000,2017-03-01T14:28:07.443000
112932,2017-03-01T14:21:18.379000,2017-03-01T15:48:58.676000
115329,2017-03-01T07:04:07.796000,2017-03-01T13:53:28.308000
115890,2017-03-01T08:38:57.124000,2017-03-01T10:44:29.311000
122799,2017-03-01T06:09:24.176000,2017-03-01T09:24:51.679000
3339,2017-03-01T16:01:40.039000,2017-03-01T17:49:22.477000
13814,2017-03-01T10:54:44.799000,2017-03-01T12:57:40.003000
13817,2017-03-01T16:20:21.227000,2017-03-01T19:11:27.219000
15523,2017-03-01T06:56:46.794000,2017-03-01T13:50:54.751000
20061,2017-03-01T16:00:27.366000,2017-03-01T19:50:15.308000
125400,2017-03-01T08:20:29.822000,2017-03-01T14:30:35.894000
127858,2017-03-01T10:14:26.194000,2017-03-01T20:03:39.742000
129018,2017-03-01T18:55:35.983000,2017-03-01T19:43:21.023000
129120,2017-03-01T17:00:34.960000,2017-03-01T21:18:49.556000
131980,2017-03-01T05:01:16.891000,2017-03-01T08:37:48.844000
132420,2017-03-01T14:20:22.574000,2017-03-01T15:55:10.927000
133108,2017-03-01T17:02:03.698000,2017-03-01T19:30:22.688000
135303,2017-03-01T16:23:18.020000,2017-03-01T17:49:20.766000
135698,2017-03-01T07:03:15.644000,2017-03-01T07:55:14.479000
142560,2017-03-01T15:17:11.666000,2017-03-01T19:56:42.747000
144427,2017-03-01T15:50:11.150000,2017-03-01T16:28:33.588000
146008,2017-03-01T10:09:02.483000,2017-03-01T16:51:05.180000
146584,2017-03-01T11:54:30.014000,2017-03-01T17:55:30.756000
147440,2017-03-01T17:34:01.883000,2017-03-01T19:01:44.579000
149520,2017-03-01T05:04:45.212000,2017-03-01T10:47:04.331000
151004,2017-03-01T05:57:14.937000,2017-03-01T06:49:02.824000
151099,2017-03-01T08:43:31.153000,2017-03-01T16:50:49.501000
153841,2017-03-01T07:10:23.001000,2017-03-01T20:53:36.851000
155331,2017-03-01T07:22:53.542000,2017-03-01T19:47:00.245000
155481,2017-03-01T18:19:34.717000,2017-03-01T19:54:12.705000
159030,2017-03-01T18:35:29.166000,2017-03-01T19:59:12.834000
161270,2017-03-01T14:12:49.311000,2017-03-01T15:45:02.712000
162737,2017-03-01T09:52:10.676000,2017-03-01T20:49:01.996000
164771,2017-03-01T13:13:38.613000,2017-03-01T17:43:50.824000
165812,2017-03-01T05:15:09.163000,2017-03-01T20:12:29.860000
167155,2017-03-01T13:58:54.948000,2017-03-01T17:01:53.011000
167412,2017-03-01T12:46:39.199000,2017-03-01T15:13:43.690000
168693,2017-03-01T16:01:16.325000,2017-03-01T17:29:31.874000
168747,2017-03-01T06:02:07.931000,2017-03-01T07:27:38.986000
169662,2017-03-01T17:47:09.444000,2017-03-01T18:06:31.043000
170098,2017-03-01T08:40:31.957000,2017-03-01T09:46:51.582000
172970,2017-03-01T08:40:29.088000,2017-03-01T13:43:53.215000
173592,2017-03-01T13:43:57.043000,2017-03-01T17:01:34.201000
177428,2017-03-01T13:43:11.327000,2017-03-01T15:49:06.125000
180962,2017-03-01T05:17:24.693000,2017-03-01T07:51:20.736000
183568,2017-03-01T10:14:51.814000,2017-03-01T13:48:32.906000
183998,2017-03-01T07:57:36.209000,2017-03-01T11:25:05.695000
197553,2017-03-01T06:12:16.047000,2017-03-01T10:41:22.784000
199049,2017-03-01T11:43:49.008000,2017-03-01T14:18:34.483000
199184,2017-03-01T11:44:51.490000,2017-03-01T14:41:18.863000
200540,2017-03-01T06:50:10.732000,2017-03-01T08:49:12.294000
200910,2017-03-01T18:30:49.337000,2017-03-01T20:51:13.919000
201673,2017-03-01T13:34:52.308000,2017-03-01T16:34:39.415000
202676,2017-03-01T07:50:25.898000,2017-03-01T17:51:15.313000
202987,2017-03-01T15:45:43.202000,2017-03-01T16:35:47.815000
203133,2017-03-01T09:52:53.383000,2017-03-01T19:10:59.759000
204330,2017-03-01T08:33:48.521000,2017-03-01T15:57:40.628000
208714,2017-03-01T04:20:43.252000,2017-03-01T21:14:38.958000
210396,2017-03-01T15:21:26.342000,2017-03-01T18:48:43.254000
211563,2017-03-01T07:37:56.477000,2017-03-01T14:49:29.818000
212208,2017-03-01T08:23:06.744000,2017-03-01T17:54:48.853000
214491,2017-03-01T18:02:00.578000,2017-03-01T19:50:49.053000
217933,2017-03-01T05:36:41.164000,2017-03-01T08:32:02.316000
218998,2017-03-01T08:50:53.874000,2017-03-01T09:11:35.215000
223804,2017-03-01T15:59:12.685000,2017-03-01T20:04:03.290000
225469,2017-03-01T09:20:38.010000,2017-03-01T17:50:23.514000
226755,2017-03-01T11:46:51.001000,2017-03-01T13:01:04.097000
228225,2017-03-01T05:55:50.421000,2017-03-01T07:39:51.266000
229574,2017-03-01T12:59:48.989000,2017-03-01T14:44:34.756000
231603,2017-03-01T07:08:32.925000,2017-03-01T08:28:54.942000
235029,2017-03-01T08:14:34.603000,2017-03-01T20:49:34.707000
236716,2017-03-01T10:30:41.784000,2017-03-01T12:24:43.016000
237700,2017-03-01T07:09:15.144000,2017-03-01T07:58:50.401000
238256,2017-03-01T14:33:40.608000,2017-03-01T16:58:31.789000
238763,2017-03-01T10:15:21.769000,2017-03-01T13:08:17.979000
238842,2017-03-01T09:12:13.478000,2017-03-01T09:40:15.526000
238955,2017-03-01T08:09:50.813000,2017-03-01T10:48:18.454000
26926,2017-03-01T12:39:43.238000,2017-03-01T19:01:18.579000
27073,2017-03-01T12:00:25.177000,2017-03-01T13:50:14.376000
27327,2017-03-01T09:04:57.771000,2017-03-01T09:39:55.309000
28739,2017-03-01T13:37:32.373000,2017-03-01T16:51:13.624000
32946,2017-03-01T10:11:01.749000,2017-03-01T14:56:40.594000
33368,2017-03-01T12:40:50.135000,2017-03-01T16:48:12.366000
33453,2017-03-01T05:05:59.417000,2017-03-01T05:36:16.793000
34578,2017-03-01T09:28:02.315000,2017-03-01T10:37:17.552000
35262,2017-03-01T18:17:42.775000,2017-03-01T20:34:14.083000
35711,2017-03-01T08:33:03.981000,2017-03-01T22:14:03.388000
36440,2017-03-01T04:22:15.480000,2017-03-01T06:47:21.645000
36979,2017-03-01T11:25:48.969000,2017-03-01T12:17:08.089000
39063,2017-03-01T07:10:48.186000,2017-03-01T08:32:32.045000
41229,2017-03-01T19:04:43.436000,2017-03-01T20:47:00.421000
41600,2017-03-01T07:15:29.865000,2017-03-01T07:33:54.106000
42961,2017-03-01T09:06:52.883000,2017-03-01T18:58:54.700000
44173,2017-03-01T06:31:36.274000,2017-03-01T10:26:57.590000
44767,2017-03-01T05:18:42.074000,2017-03-01T09:46:14.666000
46753,2017-03-01T17:00:02.996000,2017-03-01T17:32:00.289000
47113,2017-03-01T09:17:36.813000,2017-03-01T10:55:21.144000
48204,2017-03-01T11:28:35.593000,2017-03-01T12:42:18.436000
49782,2017-03-01T14:39:14.686000,2017-03-01T17:42:33.811000
51492,2017-03-01T17:01:13.891000,2017-03-01T18:27:09.238000
51597,2017-03-01T14:39:36.625000,2017-03-01T15:56:10.696000
53630,2017-03-01T07:05:56.667000,2017-03-01T09:10:07.683000
53829,2017-03-01T13:42:24.360000,2017-03-01T15:25:28.531000
56085,2017-03-01T16:59:17.233000,2017-03-01T19:02:02.973000
56120,2017-03-01T07:06:26.800000,2017-03-01T07:44:10.872000
56570,2017-03-01T11:20:21.310000,2017-03-01T18:56:00.699000
57088,2017-03-01T04:39:22.359000,2017-03-01T05:39:50.965000
57492,2017-03-01T18:55:56.338000,2017-03-01T19:34:37.432000
57694,2017-03-01T11:33:46.943000,2017-03-01T18:41:48.385000
58602,2017-03-01T17:41:17.457000,2017-03-01T19:00:42.262000
58740,2017-03-01T18:59:31.927000,2017-03-01T20:57:41.019000
59426,2017-03-01T17:05:08.333000,2017-03-01T21:07:08.248000
62862,2017-03-01T18:30:29.319000,2017-03-01T20:01:37.035000
63741,2017-03-01T05:54:03.895000,2017-03-01T09:56:12.658000
68743,2017-03-01T04:48:02.998000,2017-03-01T17:24:36.277000
73658,2017-03-01T16:47:22.598000,2017-03-01T21:13:42.136000
75259,2017-03-01T09:52:07.399000,2017-03-01T12:49:53.896000
76101,2017-03-01T03:36:09.011000,2017-03-01T04:53:41.440000
78067,2017-03-01T14:54:57.508000,2017-03-01T15:55:53.005000
78307,2017-03-01T11:57:08.991000,2017-03-01T13:06:47.678000
78374,2017-03-01T17:02:21.247000,2017-03-01T17:56:01.796000
79898,2017-03-01T07:39:59.137000,2017-03-01T09:13:07.944000
79945,2017-03-01T18:59:48.133000,2017-03-01T19:02:28.992000
80531,2017-03-01T08:02:33.770000,2017-03-01T09:41:05.123000
83067,2017-03-01T05:10:40.954000,2017-03-01T07:49:44.360000
83384,2017-03-01T05:19:14.631000,2017-03-01T19:48:31.238000
84788,2017-03-01T15:36:13.047000,2017-03-01T16:51:11.130000
84901,2017-03-01T05:08:24.507000,2017-03-01T20:25:39.067000
86736,2017-03-01T16:33:08.858000,2017-03-01T20:55:29.502000
89532,2017-03-01T13:10:48.130000,2017-03-01T17:51:19.379000
96241,2017-03-01T16:56:05.176000,2017-03-01T17:56:10.649000
99515,2017-03-01T12:03:00.763000,2017-03-01T15:37:34.419000
110633,2017-03-01T19:11:38.569000,2017-03-01T21:12:45.306000
112896,2017-03-01T05:02:04.052000,2017-03-01T05:51:47.545000
115037,2017-03-01T13:30:49.707000,2017-03-01T15:43:07.205000
117975,2017-03-01T06:04:24.352000,2017-03-01T19:55:02.360000
121939,2017-03-01T14:21:00.013000,2017-03-01T18:53:45.933000
123998,2017-03-01T07:52:28.094000,2017-03-01T19:17:20.941000
124120,2017-03-01T11:29:48.315000,2017-03-01T19:12:07.975000
128309,2017-03-01T18:59:13.005000,2017-03-01T19:55:27.615000
130104,2017-03-01T15:19:18.193000,2017-03-01T16:24:29.908000
132530,2017-03-01T09:53:28.276000,2017-03-01T10:57:36.490000
134081,2017-03-01T17:01:18.115000,2017-03-01T18:10:10.739000
135686,2017-03-01T07:31:53.439000,2017-03-01T09:04:48.381000
136801,2017-03-01T11:33:15.019000,2017-03-01T13:50:20.437000
139203,2017-03-01T09:57:15.926000,2017-03-01T22:26:15.768000
141182,2017-03-01T16:47:11.634000,2017-03-01T18:23:23.395000
142343,2017-03-01T17:45:27.306000,2017-03-01T19:01:48.168000
143264,2017-03-01T11:14:42.950000,2017-03-01T12:49:39.218000
